Ticker,Date,Price,Flow
USD/JPY_B,2/2/2017 21:00,112.566,1.315351
USD/JPY_B,2/2/2017 22:00,112.652,1.26706
USD/JPY_B,2/2/2017 23:00,113.09,1.269632
USD/JPY_B,2/3/2017 0:00,112.988,1.297266
USD/JPY_B,2/3/2017 1:00,113.021,1.290951
USD/JPY_B,2/3/2017 2:00,113.095,1.298851
USD/JPY_B,2/3/2017 3:00,113.096,1.282584
USD/JPY_B,2/3/2017 4:00,113.134,1.312139
USD/JPY_B,2/3/2017 5:00,113.12,1.287806
USD/JPY_B,2/3/2017 6:00,113.157,1.257336
USD/JPY_B,2/3/2017 7:00,113.158,1.264493
USD/JPY_B,2/3/2017 8:00,113.079,1.266032
USD/JPY_B,2/3/2017 9:00,112.707,1.25276
USD/JPY_B,2/3/2017 10:00,112.63,1.241147
USD/JPY_B,2/3/2017 11:00,112.391,1.209456
USD/JPY_B,2/3/2017 12:00,112.422,1.235136
USD/JPY_B,2/3/2017 13:00,112.548,1.268603
USD/JPY_B,2/3/2017 14:00,112.87,1.257336
USD/JPY_B,2/3/2017 15:00,112.954,1.249213
USD/JPY_B,2/3/2017 16:00,112.708,1.259376
USD/JPY_B,2/3/2017 17:00,112.552,1.293052
USD/JPY_B,2/5/2017 18:00,112.568,1.313208
USD/JPY_B,2/5/2017 19:00,112.645,1.318572
USD/JPY_B,2/5/2017 20:00,112.316,1.282584
USD/JPY_B,2/5/2017 21:00,112.454,1.239642
USD/JPY_B,2/5/2017 22:00,112.473,1.188663
USD/JPY_B,2/5/2017 23:00,112.389,1.163566
USD/JPY_B,2/6/2017 0:00,112.534,1.170139
USD/JPY_B,2/6/2017 1:00,112.576,1.198769
USD/JPY_B,2/6/2017 2:00,112.65,1.192021
USD/JPY_B,2/6/2017 3:00,112.734,1.263468
USD/JPY_B,2/6/2017 4:00,112.561,1.229157
USD/JPY_B,2/6/2017 5:00,112.552,1.2119
USD/JPY_B,2/6/2017 6:00,112.542,1.254791
USD/JPY_B,2/6/2017 7:00,112.49,1.218771
USD/JPY_B,2/6/2017 8:00,112.204,1.229654
USD/JPY_B,2/6/2017 9:00,112.173,1.265006
USD/JPY_B,2/6/2017 10:00,112.384,1.30787
USD/JPY_B,2/6/2017 11:00,112.333,1.248707
USD/JPY_B,2/6/2017 12:00,112.326,1.238138
USD/JPY_B,2/6/2017 13:00,112.072,1.235136
USD/JPY_B,2/6/2017 14:00,111.808,1.266032
USD/JPY_B,2/6/2017 15:00,111.791,1.276349
USD/JPY_B,2/6/2017 16:00,111.724,1.281022
USD/JPY_B,2/6/2017 17:00,111.722,1.284148
USD/JPY_B,2/6/2017 18:00,111.804,1.214349
USD/JPY_B,2/6/2017 19:00,111.826,1.228164
USD/JPY_B,2/6/2017 20:00,111.71,1.236636
USD/JPY_B,2/6/2017 21:00,111.838,1.164971
USD/JPY_B,2/6/2017 22:00,111.825,1.181025
USD/JPY_B,2/6/2017 23:00,111.908,1.229654
USD/JPY_B,2/7/2017 0:00,111.94,1.211411
USD/JPY_B,2/7/2017 1:00,111.82,1.191541
USD/JPY_B,2/7/2017 2:00,111.856,1.159361
USD/JPY_B,2/7/2017 3:00,112.11,1.160761
USD/JPY_B,2/7/2017 4:00,112.101,1.156567
USD/JPY_B,2/7/2017 5:00,112.388,1.168257
USD/JPY_B,2/7/2017 6:00,112.296,1.129019
USD/JPY_B,2/7/2017 7:00,112.452,1.097315
USD/JPY_B,2/7/2017 8:00,112.296,1.088119
USD/JPY_B,2/7/2017 9:00,112.348,1.061006
USD/JPY_B,2/7/2017 10:00,112.492,1.016536
USD/JPY_B,2/7/2017 11:00,112.24,1.056767
USD/JPY_B,2/7/2017 12:00,112.142,1.024291
USD/JPY_B,2/7/2017 13:00,111.924,1.058037
USD/JPY_B,2/7/2017 14:00,112.054,1.067825
USD/JPY_B,2/7/2017 15:00,112.152,1.062281
USD/JPY_B,2/7/2017 16:00,112.356,1.063132
USD/JPY_B,2/7/2017 17:00,112.376,1.044154
USD/JPY_B,2/7/2017 18:00,112.315,1.040816
USD/JPY_B,2/7/2017 19:00,112.38,1.043736
USD/JPY_B,2/7/2017 20:00,112.416,1.062706
USD/JPY_B,2/7/2017 21:00,112.192,1.027575
USD/JPY_B,2/7/2017 22:00,112.132,1.030045
USD/JPY_B,2/7/2017 23:00,112.055,1.038736
USD/JPY_B,2/8/2017 0:00,112.297,1.066543
USD/JPY_B,2/8/2017 1:00,112.321,1.069965
USD/JPY_B,2/8/2017 2:00,112.439,1.052967
USD/JPY_B,2/8/2017 3:00,112.357,1.091613
USD/JPY_B,2/8/2017 4:00,112.137,1.046664
USD/JPY_B,2/8/2017 5:00,112.332,1.074689
USD/JPY_B,2/8/2017 6:00,112.328,1.0496
USD/JPY_B,2/8/2017 7:00,112.244,1.035002
USD/JPY_B,2/8/2017 8:00,112.012,1.047083
USD/JPY_B,2/8/2017 9:00,111.998,1.025111
USD/JPY_B,2/8/2017 10:00,111.78,1.064836
USD/JPY_B,2/8/2017 11:00,111.757,1.156102
USD/JPY_B,2/8/2017 12:00,111.754,1.181977
USD/JPY_B,2/8/2017 13:00,111.761,1.206045
USD/JPY_B,2/8/2017 14:00,112.15,1.194426
USD/JPY_B,2/8/2017 15:00,112.081,1.188184
USD/JPY_B,2/8/2017 16:00,112.053,1.176279
USD/JPY_B,2/8/2017 17:00,111.93,1.219756
USD/JPY_B,2/8/2017 18:00,111.843,1.24165
USD/JPY_B,2/8/2017 19:00,111.967,1.269632
USD/JPY_B,2/8/2017 20:00,112.004,1.278423
USD/JPY_B,2/8/2017 21:00,112.223,1.218771
USD/JPY_B,2/8/2017 22:00,112.169,1.173913
USD/JPY_B,2/8/2017 23:00,112.105,1.166847
USD/JPY_B,2/9/2017 0:00,112.15,1.206045
USD/JPY_B,2/9/2017 1:00,112.181,1.214349
USD/JPY_B,2/9/2017 2:00,112.284,1.19539
USD/JPY_B,2/9/2017 3:00,112.351,1.192982
USD/JPY_B,2/9/2017 4:00,112.296,1.179599
USD/JPY_B,2/9/2017 5:00,112.238,1.175332
USD/JPY_B,2/9/2017 6:00,112.276,1.194908
USD/JPY_B,2/9/2017 7:00,112.363,1.159361
USD/JPY_B,2/9/2017 8:00,112.355,1.174859
USD/JPY_B,2/9/2017 9:00,112.404,1.180074
